,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme 1,Scheme 2,JOB_ID,ACCOUNT_ITEM_ID(Cont No.),Policy_No,Prefix,SITE_ADDRESS_1,SITE_ADDRESS_2,SITE_ADDRESS_3,SITE_ADDRESS_4(Post Code),CONTRACTOR,WORK_TYPE_1,WORK_TYPE_2,WORK_TYPE_3,CONTRACT_PRICE,Excess,Excess value,CODE1(rates),CODE2(rates),COMPLETION_DATE,Orig Pol Start Date,DEPOSIT_PAID_DATE,GUARANTEE_TERM_1,Commision,PAYMENT_MADE,IPT/TAX,IPTPLUSPAYMENT,NET_PREMIUM,MONTH_OF_COMPLETION,LOCATION,Type,No of Policies,Bord Month,Reserve Pot,Actuarial Split,Month of Account,Bord Name,Customer Surname,Unique identifier,Actuarial Adjustment,Claims Paid(Y or N),Claim Amount
Global Home Warranties,GHW ROI,Week 1,,SINI1001140522,GHW,79,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100011,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140523,GHW,80,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100012,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140524,GHW,81,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100013,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140525,GHW,82,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100014,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140526,GHW,83,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100015,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140527,GHW,84,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100016,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140528,GHW,85,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100017,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140529,GHW,86,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100018,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140530,GHW,87,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,235761.98,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100019,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140531,GHW,88,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100020,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140532,GHW,89,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,15/05/2014,15/05/2014,,120,,,1819.92,,165.45,01/05/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100021,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140533,GHW,90,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,235761.98,N,,,,15/05/2014,15/05/2014,,120,,,1819.92,,165.45,01/05/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100022,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140534,GHW,91,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,235761.98,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100023,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140535,GHW,92,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100024,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140536,GHW,93,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100025,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140537,GHW,94,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100026,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140538,GHW,95,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100027,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140539,GHW,96,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,235761.98,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100028,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140540,GHW,97,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100029,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140541,GHW,98,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100030,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140542,GHW,99,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100031,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140543,GHW,100,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100032,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140544,GHW,101,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100033,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140545,GHW,102,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100034,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140546,GHW,103,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100035,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140547,GHW,104,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100036,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140548,GHW,105,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100037,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140549,GHW,106,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,105596.55,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100038,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140550,GHW,107,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,138975.48,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100039,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140551,GHW,108,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,105596.55,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100040,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140552,GHW,109,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,138975.48,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100041,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140553,GHW,110,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,105596.55,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100042,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140554,GHW,111,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,138975.48,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100043,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140555,GHW,112,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,105596.55,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100044,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140556,GHW,113,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,138975.48,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100045,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140557,GHW,114,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,235761.98,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100046,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140558,GHW,115,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100047,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140559,GHW,116,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100048,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140560,GHW,117,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100049,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140561,GHW,118,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100050,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1012130517,GHW,1,"Corlican, Killurin, Wexford",,,Timothy Neville,New Build,,,159821.8,N,,,,19/12/2013,19/12/2013,,120,,,3970.73,,248.17,01/12/2013,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100051,,,
Global Home Warranties,GHW ROI,Week 2,,SINI1004130265,GHW,1,"Alderwood, Hollystown, Dublin 15",,,Marhan Ltd,New Build,,,146329.6,N,,,,11/02/2014,11/02/2014,,120,,,1819.92,,165.45,01/02/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100052,,,
Global Home Warranties,GHW ROI,Week 2,,SINI1004130266,GHW,2,"Alderwood, Hollystown, Dublin 15",,,Marhan Ltd,New Build,,,146329.6,N,,,,13/03/2014,13/03/2014,,120,,,1819.92,,165.45,01/03/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100053,,,
Global Home Warranties,GHW ROI,Week 2,,SINI1004130267,GHW,3,"Alderwood, Hollystown, Dublin 15",,,Marhan Ltd,New Build,,,146329.6,N,,,,11/02/2014,11/02/2014,,120,,,1819.92,,165.45,01/02/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100054,,,
Global Home Warranties,GHW ROI,Week 2,,SINI1004130268,GHW,4,"Alderwood, Hollystown, Dublin 15",,,Marhan Ltd,New Build,,,146329.6,N,,,,13/03/2014,13/03/2014,,120,,,1819.92,,165.45,01/03/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100055,,,
Global Home Warranties,GHW ROI,Week 2,,SINI1004130269,GHW,5,"Alderwood, Hollystown, Dublin 15",,,Marhan Ltd,New Build,,,146329.6,N,,,,19/12/2013,19/12/2013,,120,,,1819.92,,165.45,01/12/2013,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100056,,,
Global Home Warranties,GHW ROI,Week 2,,SINI1004130275,GHW,45,"Alderwood, Hollystown, Dublin 15",,,Marhan Ltd,New Build,,,111594,N,,,,27/02/2014,27/02/2014,,120,,,1819.92,,165.45,01/02/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100057,,,
Global Home Warranties,GHW ROI,Week 4,,SINI1002140575,GHW,16,"Marella Holiday Homes, Enniscrone",,,Ernst & Young,New Build,,,113417.28,N,,,,01/02/2014,,,120,,,3958.95,,247.43,01/02/2014,,Policy,1,01/02/2014,GHW,GHW,01/02/2014,,,2014GHW100058,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1002140576,GHW,Apt 1,"Woodfield House, Station Road, Blarney",,,Crowe Horwath (Coleman Brothers Developments in Receivership),New Build,,,69031.62,N,,,,26/02/2014,26/02/2014,,120,,,1829.19,,166.29,01/02/2014,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100059,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1002140577,GHW,Apt 2,"Woodfield House, Station Road, Blarney",,,Crowe Horwath (Coleman Brothers Developments in Receivership),New Build,,,75832.76,N,,,,26/02/2014,26/02/2014,,120,,,1829.19,,166.29,01/02/2014,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100060,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1002140578,GHW,Apt 3,"Woodfield House, Station Road, Blarney",,,Crowe Horwath (Coleman Brothers Developments in Receivership),New Build,,,75747.75,N,,,,26/02/2014,26/02/2014,,120,,,1829.19,,166.29,01/02/2014,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100061,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1002140579,GHW,Apt 4,"Woodfield House, Station Road, Blarney",,,Crowe Horwath (Coleman Brothers Developments in Receivership),New Build,,,75832.76,N,,,,26/02/2014,26/02/2014,,120,,,1829.19,,166.29,01/02/2014,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100062,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1002140580,GHW,Apt 5,"Woodfield House, Station Road, Blarney",,,Crowe Horwath (Coleman Brothers Developments in Receivership),New Build,,,75747.75,N,,,,26/02/2014,26/02/2014,,120,,,1829.19,,166.29,01/02/2014,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100063,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1002140581,GHW,Apt 6,"Woodfield House, Station Road, Blarney",,,Crowe Horwath (Coleman Brothers Developments in Receivership),New Build,,,75832.76,N,,,,26/02/2014,26/02/2014,,120,,,1829.19,,166.29,01/02/2014,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100064,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1002140582,GHW,Apt 7,"Woodfield House, Station Road, Blarney",,,Crowe Horwath (Coleman Brothers Developments in Receivership),New Build,,,76895.45,N,,,,26/02/2014,26/02/2014,,120,,,1829.19,,166.29,01/02/2014,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100065,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1002140583,GHW,Apt 8,"Woodfield House, Station Road, Blarney",,,Crowe Horwath (Coleman Brothers Developments in Receivership),New Build,,,67161.31,N,,,,26/02/2014,26/02/2014,,120,,,1829.19,,166.29,01/02/2014,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100066,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1002140584,GHW,Apt 9,"Woodfield House, Station Road, Blarney",,,Crowe Horwath (Coleman Brothers Developments in Receivership),New Build,,,76895.45,N,,,,26/02/2014,26/02/2014,,120,,,1829.19,,166.29,01/02/2014,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100067,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1002140585,GHW,Apt 10,"Woodfield House, Station Road, Blarney",,,Crowe Horwath (Coleman Brothers Developments in Receivership),New Build,,,75322.68,N,,,,26/02/2014,26/02/2014,,120,,,1829.19,,166.29,01/02/2014,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100068,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1002140586,GHW,Apt 11,"Woodfield House, Station Road, Blarney",,,Crowe Horwath (Coleman Brothers Developments in Receivership),New Build,,,76064,N,,,,26/02/2014,26/02/2014,,120,,,1829.19,,166.29,01/02/2014,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100069,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1002140587,GHW,Apt 12,"Woodfield House, Station Road, Blarney",,,Crowe Horwath (Coleman Brothers Developments in Receivership),New Build,,,75322.68,N,,,,26/02/2014,26/02/2014,,120,,,1829.19,,166.29,01/02/2014,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100070,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1006120533,GHW,22,"Alexandra Manor, Abbeylands, Clane",,,KPMG (Naas Developments in receivership),New Build,,,177722.01,N,,,,08/02/2012,08/02/2012,,120,,,3990.95,,249.43,01/01/2012,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100071,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1006120534,GHW,23,"Alexandra Manor, Abbeylands, Clane",,,KPMG (Naas Developments in receivership),New Build,,,201418.28,N,,,,08/02/2012,08/02/2012,,120,,,3990.95,,249.43,01/01/2012,,Policy,1,01/03/2014,GHW,GHW,01/03/2014,,,2014GHW100072,,,
Global Home Warranties,GHW ROI,Week 3,,SINI1003140601,GHW,1 (Extension to dwelling),"Ghan Road, Carlingford",,,Siobhan Flanaghan (Homeowner),New Build,,,86610.3,N,,,,01/03/2014,,,120,,,1814.69,,164.97,01/03/2014,,Policy,1,01/03/2014,GHW,GHW,01/04/2014,,,2014GHW100073,,,
Global Home Warranties,GHW ROI,Week 3,,SINI1003140588,GHW,3,"Carlinn Hall, Mullaharlin Road, Dundalk",,,Wonderglade Homes,New Build,,,119967.64,N,,,,10/03/2014,10/03/2014,,120,,,3959.33,,247.46,01/03/2014,,Policy,1,01/03/2014,GHW,GHW,01/04/2014,,,2014GHW100074,,,
Global Home Warranties,GHW ROI,Week 3,,SINI1003140589,GHW,5,"Carlinn Hall, Mullaharlin Road, Dundalk",,,Wonderglade Homes,New Build,,,119967.64,N,,,,10/03/2014,10/03/2014,,120,,,3959.33,,247.46,01/03/2014,,Policy,1,01/03/2014,GHW,GHW,01/04/2014,,,2014GHW100075,,,
